id,name,description,image
31,Smartphone Samsung Galaxy,Smartphone android dengan kamera jernih,phone1.jpg
32,Smartphone Xiaomi Redmi,Smartphone harga terjangkau dengan performa baik,phone2.jpg
33,Smartphone Oppo Reno,Smartphone stylish dengan kamera selfie unggul,phone3.jpg
34,Smartphone Vivo Y Series,Smartphone baterai besar untuk penggunaan lama,phone4.jpg
35,Smartphone iPhone,Smartphone premium dengan ekosistem Apple,phone5.jpg

36,Tablet Samsung Tab,Tablet android untuk hiburan dan kerja,tablet1.jpg
37,Tablet iPad,Tablet premium untuk produktivitas,tablet2.jpg
38,Tablet Lenovo,Tablet ekonomis untuk belajar online,tablet3.jpg
39,Tablet Xiaomi Pad,Tablet layar besar untuk multimedia,tablet4.jpg
40,Tablet Huawei,Tablet desain tipis dan ringan,tablet5.jpg

41,Printer Epson Inkjet,Printer warna untuk kebutuhan rumah,printer1.jpg
42,Printer HP LaserJet,Printer laser cepat untuk kantor,printer2.jpg
43,Printer Canon Pixma,Printer foto dengan hasil tajam,printer3.jpg
44,Printer Brother,Printer kantor dengan efisiensi tinggi,printer4.jpg
45,Printer Multifungsi,Printer scan copy print,printer5.jpg

46,Flashdisk 32GB,Flashdisk portable untuk penyimpanan data,fd1.jpg
47,Flashdisk 64GB,Flashdisk kapasitas besar,fd2.jpg
48,Flashdisk USB 3.0,Flashdisk kecepatan tinggi,fd3.jpg
49,Harddisk Eksternal 1TB,Harddisk portable untuk backup data,hdd1.jpg
50,Harddisk Eksternal 2TB,Harddisk kapasitas besar,hdd2.jpg

51,SSD 256GB,SSD cepat untuk laptop dan PC,ssd1.jpg
52,SSD 512GB,SSD performa tinggi,ssd2.jpg
53,SSD NVMe 1TB,SSD NVMe super cepat,ssd3.jpg
54,RAM DDR4 8GB,RAM untuk upgrade laptop dan PC,ram1.jpg
55,RAM DDR4 16GB,RAM kapasitas besar untuk multitasking,ram2.jpg

56,Webcam Logitech HD,Webcam untuk meeting dan streaming,webcam1.jpg
57,Webcam Full HD,Webcam resolusi tinggi,webcam2.jpg
58,Microphone Condenser,Microphone recording untuk podcast,mic1.jpg
59,Microphone USB,Microphone praktis plug and play,mic2.jpg
60,Speaker Bluetooth,Speaker portable dengan suara jernih,speaker1.jpg

61,Speaker Gaming RGB,Speaker gaming dengan efek lampu,speaker2.jpg
62,Speaker Multimedia,Speaker untuk komputer dan laptop,speaker3.jpg
63,Router WiFi TP-Link,Router wifi untuk rumah,router1.jpg
64,Router WiFi Dual Band,Router kecepatan tinggi,router2.jpg
65,Modem USB,Modem internet portable,modem1.jpg

66,Power Bank 10000mAh,Power bank untuk smartphone,pb1.jpg
67,Power Bank Fast Charging,Power bank pengisian cepat,pb2.jpg
68,Charger Laptop Universal,Charger laptop serbaguna,charger1.jpg
69,Charger Smartphone USB C,Charger cepat USB C,charger2.jpg
70,Kabel Data USB C,Kabel data untuk pengisian dan transfer,kabel1.jpg

71,Kabel HDMI,Kabel HDMI untuk monitor dan TV,kabel2.jpg
72,Mouse Pad Gaming,Mouse pad besar untuk gaming,mp1.jpg
73,Mouse Pad Office,Mouse pad sederhana,mp2.jpg
74,Stand Laptop,Stand laptop ergonomis,stand1.jpg
75,Cooling Pad Laptop,Cooling pad untuk pendingin laptop,cooling1.jpg

76,Tas Laptop 14 Inch,Tas laptop ringan dan aman,bag1.jpg
77,Tas Laptop 15 Inch,Tas laptop kapasitas besar,bag2.jpg
78,Backpack Laptop,Backpack multifungsi untuk laptop,bag3.jpg
79,Smartwatch Xiaomi,Smartwatch untuk monitoring kesehatan,watch1.jpg
80,Smartwatch Samsung,Smartwatch premium,watch2.jpg

81,Smartwatch Apple,Apple Watch untuk iPhone,watch3.jpg
82,Keyboard Tablet,Keyboard tambahan untuk tablet,tabkey1.jpg
83,Stylus Pen,Stylus untuk tablet dan smartphone,stylus1.jpg
84,Projector Mini,Projector portable untuk presentasi,proj1.jpg
85,Projector Full HD,Projector resolusi tinggi,proj2.jpg

86,TV LED 32 Inch,TV LED untuk ruang keluarga,tv1.jpg
87,TV Smart Android,Smart TV dengan aplikasi streaming,tv2.jpg
88,Camera DSLR Canon,Kamera DSLR untuk fotografi,camera1.jpg
89,Camera Mirrorless Sony,Kamera mirrorless profesional,camera2.jpg
90,Tripod Kamera,Tripod stabil untuk kamera,tripod1.jpg

91,Drone Kamera,Drone dengan kamera HD,drone1.jpg
92,Joystick Gamepad,Gamepad untuk PC dan konsol,gamepad1.jpg
93,Console Game,Console gaming generasi terbaru,console1.jpg
94,VR Headset,Perangkat virtual reality,vr1.jpg
95,External DVD Drive,DVD drive eksternal,dvd1.jpg

96,Card Reader USB,Card reader multifungsi,card1.jpg
97,LAN Adapter USB,Adapter LAN untuk laptop,lan1.jpg
98,USB Hub,USB hub multiport,hub1.jpg
99,Micro SD 64GB,Kartu memori untuk smartphone,sd1.jpg
100,Micro SD 128GB,Kartu memori kapasitas besar,sd2.jpg
101,Micro SD 256GB,Kartu memori ultra besar,sd3.jpg
102,UPS Mini,UPS kecil untuk router dan modem,ups1.jpg
103,UPS 650VA,UPS untuk PC kantor,ups2.jpg
104,Keyboard Mechanical Low Profile,Keyboard tipis mechanical,keyboard6.jpg
105,Mouse Silent Click,Mouse senyap untuk kerja,mouse6.jpg
